length_numeric,estimated_mass_kg,metabolic_demand,habitat_modification_potential,specialization_index,region_diversity_score,temporal_span,extinction_proximity,trophic_impact,diet,type,geological_period,lived_in,start_time_mya,end_time_mya,mid_time_mya,ecosystem_impact_score,name,impact_category
2.4,892.3353629661888,892.3353629661888,3.5999999999999996,2,1.0,2.0,-9.0,2.0,herbivorous,euornithopod,Late Cretaceous,USA,76.0,74.0,75.0,2.8350236382052882,stegoceras,Low Impact
9.0,24300.0,24300.0,19.8,3,1.0,10.0,-80.0,2.0,herbivorous,armoured dinosaur,Late Jurassic,USA,155.0,145.0,150.0,11.206542170558114,stegosaurus,Low Impact
1.5,275.56759606310754,275.56759606310754,3.0,3,0.8064516129032258,6.0,-56.0,2.0,herbivorous,ceratopsian,Early Cretaceous,Germany,127.0,121.0,124.0,4.2671710610053015,stenopelix,Low Impact
4.0,3200.0,3840.0,4.0,1,0.8387096774193549,2.0,-9.0,2.5,omnivorous,small theropod,Late Cretaceous,Canada,76.0,74.0,75.0,11.451455544106551,struthiomimus,Low Impact
2.5,988.2117688026185,988.2117688026185,5.5,3,0.6451612903225806,8.0,-10.0,2.0,herbivorous,armoured dinosaur,Late Cretaceous,Spain,83.0,75.0,79.0,5.1418269816668545,struthiosaurus,Low Impact
5.5,7094.253836732938,7094.253836732938,11.0,3,1.0,6.0,-5.0,2.0,herbivorous,ceratopsian,Late Cretaceous,USA,76.0,70.0,73.0,7.3165530621507795,styracosaurus,Low Impact
11.0,40131.159963300335,60196.7399449505,27.5,4,0.7419354838709677,9.0,-47.0,3.0,carnivorous,large theropod,Early Cretaceous,Niger,121.0,112.0,116.5,37.0119757576142,suchomimus,Moderate Impact
35.0,724719.773429703,724719.773429703,105.0,3,1.0,12.0,-77.0,2.0,herbivorous,sauropod,Early Cretaceous,USA,154.0,142.0,148.0,78.33333333333331,supersaurus,High Impact
6.0,8818.163074019441,8818.163074019441,13.200000000000001,3,0.9354838709677419,10.0,-24.0,2.0,herbivorous,armoured dinosaur,Late Cretaceous,Mongolia,99.0,89.0,94.0,8.146786143591317,talarurus,Low Impact
5.0,5590.169943749474,5590.169943749474,7.5,2,0.967741935483871,24.0,0.0,2.0,herbivorous,euornithopod,Late Cretaceous,China,89.0,65.0,77.0,4.3974188254367474,tanius,Low Impact
10.0,31622.776601683792,47434.16490252569,25.0,4,0.9354838709677419,4.0,-5.0,3.0,carnivorous,large theropod,Late Cretaceous,Mongolia,74.0,70.0,72.0,35.560287406445354,tarbosaurus,Moderate Impact
